Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Sep 5, 2022;2:00 PM;3:00 PM;4,119.5;1,190.5;3,493;8,338.75;29,613.5;110;3,946.25;12,155.25;7,949.25;2,118;312;1,215.25
Sep 5, 2022;3:00 PM;4:00 PM;4,176.75;1,357;3,537.25;8,234.5;25,371.25;110;3,945.25;12,246.25;8,890.5;2,291.75;794;1,218.25
Sep 5, 2022;4:00 PM;5:00 PM;4,300.5;1,463;3,746.75;8,802;19,467.75;110;3,947.5;12,337.25;9,491;2,469.75;1,326;1,230.5
Sep 5, 2022;5:00 PM;6:00 PM;4,443;1,400;4,512.5;10,023;11,929.5;110;3,948.25;12,394.25;10,517.5;3,166.75;2,233.75;1,231
Sep 5, 2022;6:00 PM;7:00 PM;4,578;1,427;4,820;11,096;4,775.25;110.25;3,947.75;12,405;11,062.5;3,610.75;4,224;1,236.25
Sep 5, 2022;7:00 PM;8:00 PM;4,607.5;1,524.75;4,847.5;12,073.5;697.5;111.25;3,947.25;12,599.75;11,183.75;3,794;6,554.25;1,237.5
Sep 5, 2022;8:00 PM;9:00 PM;4,589.5;1,336.75;4,713.25;14,620;1;112;3,949.5;12,275.75;11,205.25;3,751.25;5,497;1,228.25
Sep 5, 2022;9:00 PM;10:00 PM;4,465.25;1,209;4,843.75;16,252.25;0;113;3,948.25;12,298;10,988.5;3,260.5;1,299.75;1,242
Sep 5, 2022;10:00 PM;11:00 PM;4,304.5;1,211;4,883.5;15,840.25;0;113;3,951;12,468.75;10,279.75;3,038.75;581.5;1,255.5
Sep 5, 2022;11:00 PM;12:00 AM;4,199.25;1,278.75;4,609.25;15,921;0;114;3,954;12,584.25;9,456.5;2,498;196;1,260
Sep 6, 2022;12:00 AM;1:00 AM;4,087.75;1,225.75;4,352;15,685;0;114;3,958;12,817.25;8,677;1,670.5;37.5;1,232
Sep 6, 2022;1:00 AM;2:00 AM;4,070;1,363.25;4,381.75;15,894.25;0;114;3,956.75;13,225.5;8,202.75;1,531;40.75;1,218
Sep 6, 2022;2:00 AM;3:00 AM;4,051.5;1,327.25;4,407;15,897;0;114;3,962.5;13,219.5;8,110.25;1,515.75;40.5;1,220.5
Sep 6, 2022;3:00 AM;4:00 AM;4,052.25;1,286.75;4,682.25;15,411.25;0;114.5;3,967.5;13,292.25;7,642.25;1,451.25;42.5;1,219
Sep 6, 2022;4:00 AM;5:00 AM;4,051.5;1,250.75;4,663.25;14,156;0;115;3,972.25;13,339;7,511.5;1,525;120;1,250.75
Sep 6, 2022;5:00 AM;6:00 AM;4,000.5;1,270.5;4,677.25;13,182.5;0;115;3,975.75;13,398.5;7,823.25;2,240;575;1,247.75
Sep 6, 2022;6:00 AM;7:00 AM;4,227.25;1,339.75;4,803.5;12,800.25;70.25;115;3,975;13,485.75;8,389;3,162.75;1,532.5;1,253.5
Sep 6, 2022;7:00 AM;8:00 AM;4,365;1,437.25;4,639.75;12,052;1,902.75;114.75;3,979.75;13,422.5;8,792.25;3,407.25;5,726;1,245.5
Sep 6, 2022;8:00 AM;9:00 AM;4,451.25;1,489.5;4,080.25;10,268.75;6,606.75;110.5;3,979.75;13,438.5;9,055;3,404.5;5,438.25;1,242.75
Sep 6, 2022;9:00 AM;10:00 AM;4,467.25;1,402.25;3,789.5;8,930.5;12,832;110;3,973.25;13,343.25;9,180;3,285;2,239.25;1,241.25
Sep 6, 2022;10:00 AM;11:00 AM;4,330.5;1,245.5;4,573.5;8,090.75;19,315.75;110;3,967.75;13,260.25;8,442.25;2,465.75;785;1,226
Sep 6, 2022;11:00 AM;12:00 PM;4,216.5;1,297.5;4,723;8,059.75;24,641.75;109.25;3,954;13,244;7,849.25;1,613.5;533.25;1,242.25
Sep 6, 2022;12:00 PM;1:00 PM;4,180.5;1,322.75;4,386.25;8,277;27,527.75;110.25;3,947.5;13,036.5;7,649.75;1,647.25;93.25;1,232
